"","logFC","logCPM","LR","PValue","FDR"
"IFI44",-5.26645591593939,3.44534521028094,33.2323001832861,8.17807546068005e-09,9.31973479499098e-05
"RNGTT",-1.86503053172605,5.23714096187191,25.4707105660936,4.49150060090499e-07,0.00255925704239566
"LAP3",-2.58523243199834,3.91638847698233,23.5958170523586,1.18845584781708e-06,0.0037567277435947
"IFI44L",-5.90803052430384,5.35591244673629,23.3044478174306,1.38279861602187e-06,0.0037567277435947
"PRKCH",2.80719876639425,2.70385560091213,22.9667632933795,1.64826594576812e-06,0.0037567277435947
"SUN2",1.31898573618156,6.24140841614749,22.198173233588,2.4590765603302e-06,0.00414559908896566
"TRGC1",3.57143835910621,1.82239541294879,22.1311527754455,2.54643678683394e-06,0.00414559908896566
"TBC1D9",1.34878208560353,4.75693349485739,21.8179474835719,2.99782795141141e-06,0.00427040591678555
"CD1C",2.22158398483776,5.01214529222035,21.5190628368546,3.50328820346892e-06,0.00443189272768937
"AC004687.1",1.66267581356265,4.37231978291125,21.1841399876926,4.17202693056655e-06,0.00443189272768937
"CRIP2",4.02733412565781,2.84480149059001,21.1361179581224,4.2778887332909e-06,0.00443189272768937
"RSAD2",-5.74784540610774,2.32305688695678,20.607443478527,5.63764941602832e-06,0.00535388772875489
"ISG15",-3.92283272856034,3.6960717490585,19.1093308936538,1.23439910416598e-05,0.0104546558429262
"CBFA2T3",1.33457889571516,5.22626601047389,19.0336189010966,1.28435575465924e-05,0.0104546558429262
"OAS2",-2.537189047691,4.89112474307766,18.4831577225078,1.71412398955729e-05,0.0130227713233299
"IRF7",-2.26988414768192,4.78036779986476,18.3135265614402,1.8737202054634e-05,0.0133455721634131
"ab_CD45RA:HI100|PTPRC|AHS0009|pAbO",1.29870803767863,14.9477873975435,17.4645413410298,2.92716634829498e-05,0.0181169017300962
"DIP2B",1.47091889344721,4.07073724084672,17.3630832722035,3.08765369859442e-05,0.0181169017300962
"ab_CD80|CD80|AHS0046|pAbO",1.37264505916237,10.9606428803425,17.3506713775208,3.10788459434801e-05,0.0181169017300962
"IFIT1",-6.19342853743195,2.39296539493223,17.2471450979493,3.28190320871699e-05,0.0181169017300962
"SYTL2",3.07201097239221,1.890341322633,17.2146634197172,3.33849540480888e-05,0.0181169017300962
"IFI35",-2.33661888310693,3.26770471810584,17.0890702076019,3.56669789761831e-05,0.0184258064823874
"PTCH1",3.48516879576336,1.84887794601694,17.0097725808966,3.71879211209995e-05,0.0184258064823874
"TLR10",1.47076057350944,5.64834400555008,16.9048060474604,3.93019472880102e-05,0.0186618746372568
"MRPL11",-1.86021409863869,3.10787503774822,16.8201194764722,4.10952907855411e-05,0.0187328773516811
"FBXL17",1.62890681924237,3.4216515681667,16.6833195402396,4.41676519168584e-05,0.0193590215863276
"KLHDC3",1.65119386074794,3.39151624962621,16.5957076928939,4.62555889212138e-05,0.0195232848646723
"PIK3CD",1.17129681031381,4.91594734998086,16.2397569476565,5.58105145982598e-05,0.0221616304356606
"IFI6",-3.86267549011485,6.29717122597555,16.2199902543806,5.63958654470126e-05,0.0221616304356606
"SLC38A10",-1.73988086512134,3.56503940842708,16.0958344020076,6.02163436042137e-05,0.0228741817237873
"CD7",2.12905523675148,3.63636862708279,15.9099538329775,6.64284394613078e-05,0.0244199514871311
"FAM111A",1.08561571623392,4.72239996610478,15.694191408178,7.44524621092935e-05,0.0265143830686722
"SIDT2",1.26506411144589,4.56641626574137,15.6115671423403,7.77773439902422e-05,0.0268591094579636
"XPNPEP3",-2.21390139923812,2.70521453611202,15.3116093348119,9.11545883369859e-05,0.0305528731967145
"FAM43A",2.4981815882436,3.68316461504189,15.25390724708,9.3982130894963e-05,0.0306005818193999
"SPATS2L",-5.87022281820014,1.62018573331821,15.1991355835722,9.67476971238188e-05,0.0306236283982173
"VIM-AS1",-2.43386183438253,2.3493149916328,15.1475477831639,9.9427364929277e-05,0.0306236283982173
"DNM3",5.69030885955741,0.70152786667184,15.019382818694,0.000106412601027691,0.0307153581762363
"WDR35",3.16176138420135,1.68336687055687,15.0122884832464,0.000106813375463384,0.0307153581762363
"UAP1",-2.66223925398649,2.77948336528185,14.9762799715834,0.000108871120883666,0.0307153581762363
"GIMAP7",2.26793411521846,3.09782819226693,14.9289834841803,0.000111634681657191,0.0307153581762363
"OSBPL3",1.559133745102,3.92686285467189,14.9026880949422,0.000113201565760085,0.0307153581762363
"CSGALNACT1",1.55324083237685,4.42880686501448,14.8553939518143,0.000116075645851252,0.0307627455842061
"ULK1",1.53333706646906,3.72436344793027,14.6558279949832,0.00012903504215332,0.0334200759177099
"TAPT1",-1.10668903516841,5.20876552866109,14.6055977845816,0.000132520312861927,0.0335600330083225
"MT-CO1",1.1337743151036,13.5231152436687,14.4861558439369,0.000141193411250117,0.0349791329262246
"MBP",1.1598026649235,5.43907468889612,14.4237915334164,0.000145946765321574,0.0353276212883698
"EHD1",1.1365719551213,4.44566541226156,14.3873306593276,0.000148800089666703,0.0353276212883698
"DPH6",3.37372028940413,1.9346205823551,14.1504267918239,0.000168758816532342,0.0385180424689886
"PPP1R16B",1.15341043631338,4.50213331115054,14.1477613577365,0.000168998080330768,0.0385180424689886
"NHSL2",1.24577128245703,5.096686961743,14.1076572841673,0.00017263956087624,0.0385764791322672
"TMEM158",8.78044758944268,0.225264573645826,14.0682841233758,0.000176291556699258,0.0386349726950913
"ALDOC",1.91389531381415,2.79036521636276,13.8706520575995,0.000195832736466766,0.0418407688763772
"BST2",-1.79438736412769,4.7053721408532,13.8474776713102,0.000198262681583395,0.0418407688763772
"SMAGP",1.84749835217162,3.11074790883605,13.7433689274416,0.000209559302691483,0.0431341148283901
"TMOD2",2.16787521271037,2.9382521507633,13.7219627398007,0.000211961252227961,0.0431341148283901
"ZBP1",-1.86592821149655,4.27939927160812,13.6450376771675,0.00022082415769775,0.0441493351074309
"CREB5",-3.00231496944431,1.74482691836839,13.5458402313452,0.000232806829543091,0.0452166236605376
"TIGIT",2.63805213995459,2.40224897517823,13.5354599968811,0.000234097998944517,0.0452166236605376
"PREX1",1.00606091393612,5.37773682199728,13.4292238295845,0.000247734593117599,0.0464231461916557
"ab_CD27:M-T271|CD27|AHS0025|pAbO",1.57638195265465,13.265799174939,13.4234991804525,0.000248491744269129,0.0464231461916557
"SERPINB8",1.72779728920652,3.06327009216723,13.3730468014334,0.000255266329600719,0.046919598260158
"XAF1",-3.09364809124189,6.74708895126504,13.2775709396962,0.000268600287448625,0.0474857590629357
"ab_CD39|ENTPD1|AHS0006|pAbO",1.36167361850472,13.3453332852838,13.2431062520853,0.000273584165886443,0.0474857590629357
"FAM219A",-1.85454722887943,2.78156912695832,13.2222837064696,0.000276640345141468,0.0474857590629357
"BRI3BP",1.15963772057125,4.39933427413344,13.1867741387203,0.000281931782245707,0.0474857590629357
"VCL",1.48201185072606,4.08988751946049,13.1483192154483,0.000287777272925155,0.0474857590629357
"KLRB1",3.24517046654984,2.87661945020177,13.1451493476904,0.000288264537955184,0.0474857590629357
"ADA",-2.7771532965164,2.72130992024156,13.1260443114312,0.000291218985941638,0.0474857590629357
"SLC39A9",-1.79100642361953,2.92177337074912,13.1106582248345,0.000293620505232355,0.0474857590629357
"SIGLEC10",1.15029028804212,4.64186312893556,13.096497246494,0.000295848446250301,0.0474857590629357
"TMX4",1.10742488982027,5.21628081075341,12.9665725074549,0.000317102007990271,0.0497795460908265
"ALOX12",9.31084360537167,0.159648898973113,12.9561300859923,0.000318875646246958,0.0497795460908265
"LPGAT1",1.17667474458133,5.18955618566391,12.8551156209907,0.000336557911421514,0.0514510823341833
"BCL9L",1.29465834160525,4.59713089914048,12.8437254546886,0.000338612774224618,0.0514510823341833
"GZMK",3.231006109727,1.50736280730472,12.7247544501081,0.000360847231159173,0.0541080927143413
"MX1",-2.41262032549202,5.58280577649334,12.6847086063431,0.000368658038068523,0.0545613896341414
"C3orf18",4.55774147466904,0.881268038547777,12.5571317410212,0.000394697090181047,0.0576662569192719
"DFFB",-2.2637741285785,2.24337065575321,12.509397953228,0.000404910061754833,0.0584095577690895
"HGF",-6.55795080671607,0.445134727169858,12.4401275339973,0.00042020708861003,0.0598584997724987
"PLSCR1",-2.41204726244013,3.84535415708738,12.3982717533519,0.000429731389920117,0.0603323914890289
"SOCS5",1.54346500184667,3.28767682005036,12.3792901755587,0.000434122157081465,0.0603323914890289
"ZUP1",-2.47595740224993,2.28662694418011,12.2757891933544,0.000458872566191208,0.062857753451126
"CLEC10A",-6.44799990205368,0.341156560086752,12.2577696102858,0.000463324964013214,0.062857753451126
"MT-ND4",0.865094277159812,12.739394359568,12.2052824342601,0.000476543871805834,0.0638905172129327
"EIF2AK3",-1.43801531651881,3.90086553054897,12.1815254539183,0.000482651573573117,0.0639569457260377
"ab_CD11c:S-HCL-3|ITGAX|AHS0183|pAbO",1.54713559315058,12.3011497364175,12.0866797061895,0.000507833296111259,0.0665203246262517
"GALNT7",-1.92506180803632,3.18229451246771,12.0083458346793,0.000529628440085468,0.0679171159884315
"MT-ATP6",1.02864892067866,12.081664443997,12.0055757463755,0.00053041622700688,0.0679171159884315
"KCNAB3",-3.93088163879746,1.03651105693151,11.9295770738333,0.000552497179952333,0.0699584206970754
"ANO5",-8.86829152410071,-0.0964269731721806,11.889846224605,0.000564407810584412,0.0706469151652874
