"","logFC","logCPM","LR","PValue","FDR"
"SMIM25",9.18771922995892,3.08498209550568,29.6290608699994,5.23147029939377e-08,0.000596178355318914
"MX1",-5.66290085368324,4.62709429446447,25.791268752364,3.80405440969678e-07,0.00216755020264523
"IFI44L",-5.69147998301421,4.80414567249717,24.0915714606154,9.18614948353477e-07,0.00348951198381207
"LYPD2",13.4158956044904,2.07864705051353,22.2319263439371,2.41622475733404e-06,0.00688382433364468
"RPL7",1.61956749547828,8.10127542676109,21.2844932521873,3.9592133636434e-06,0.00902383909841604
"RPS19",1.17330387788263,8.94620925557568,20.8807317999166,4.88786688788659e-06,0.00928368850905927
"SH3GL1",4.11481901987297,3.44206684570831,19.8270281181489,8.47754220258154e-06,0.0138014387058027
"NEURL1",11.4664687296277,2.11653280053288,19.517581415004,9.96780237049819e-06,0.0141991344767747
"UBE2N",2.4455807303664,4.50181014756273,17.8612074466895,2.37615696154713e-05,0.0261470651514546
"HLA-DRB5",3.24178941477889,5.18368762784868,17.7007248926072,2.58528062822188e-05,0.0261470651514546
"CMPK2",-9.4079614699289,2.23479392552469,17.6565094470683,2.64608109495515e-05,0.0261470651514546
"HOOK1",7.2700628772222,2.4529004595524,17.4387737102745,2.96711391303867e-05,0.0261470651514546
"RPS4X",1.22087844944017,8.97856523194613,17.428795786861,2.98272943988162e-05,0.0261470651514546
"ISG15",-4.59090398509704,3.96805351316877,17.2310278935954,3.30986235512e-05,0.0269422795706768
"CDKN1C",8.00319783162559,3.17046259641373,17.015641045037,3.70731624150741e-05,0.0281657172588123
"RPS23",1.29259758379282,9.21116751863781,16.8068625687754,4.13833760613612e-05,0.0294753095997045
"DUS2",7.46481177297036,2.29771145514276,16.6110312161253,4.58833721691119e-05,0.0307580534846588
"XAF1",-3.88398274932521,6.23922332847006,16.4425765357349,5.01461643305258e-05,0.0317480938172596
"MT-CO1",1.44785723491931,12.7969637942359,15.9845295619614,6.38622196041233e-05,0.0373371628227963
"RPL35",1.33399499421346,7.50099302788376,15.9358209475554,6.55267862807938e-05,0.0373371628227963
"IFI6",-3.35667860163434,6.19000729087717,15.6863729607775,7.47608618728841e-05,0.0405702277096851
"EIF2AK2",-2.76599888273554,4.51803756661405,15.2291199394845,9.52237143838905e-05,0.0493258840508553
"MGMT",6.70114906292663,2.48338831827677,15.043410353588,0.000105066442169387,0.0507384625567109
"RPS5",1.32558203064549,8.30688324551398,14.9553628985524,0.000110084722471853,0.0507384625567109
"OASL",-4.93970769633999,2.80512197787189,14.8875349725904,0.000114114541284808,0.0507384625567109
"ZSCAN12",8.01265033583538,2.33688800095131,14.8605314042022,0.000115759918083054,0.0507384625567109
"ANK1",7.76918442122959,2.20396056893801,14.7729515673372,0.000121262457585558,0.051181739505371
"SOGA1",8.86773489994997,2.12327628227764,14.4245110707006,0.000145891014203917,0.0566836612007115
"RPS8",1.40090813201119,9.73171302960603,14.4156651193342,0.000146577906618552,0.0566836612007115
"PRKAB2",5.58272184045766,2.69473839492872,14.3733556423764,0.000149908567376751,0.0566836612007115
"SDHAF3",6.64259009758562,2.45821311798463,14.3202905373286,0.000154193883575119,0.0566836612007115
"NBEA",9.01647443265697,2.06688100943019,14.1815109263549,0.000165993596434253,0.0577095778579648
"PTPN6",2.37475223157956,5.35249410666598,14.1420341025635,0.000169513346167876,0.0577095778579648
"SOCS7",5.56084176418455,2.64430458606961,14.1127073366035,0.000172176697715936,0.0577095778579648
"RAD9A",-4.95184705310913,2.66635801316895,13.8380740823881,0.000199257335468004,0.064878188428382
"RPS9",1.19690354016317,7.53700984387145,13.6900273549652,0.000215596326477947,0.0682482149039634
"PSMD2",2.94804646423223,3.84921339233213,13.6068223717667,0.000225365025894992,0.0694124279756575
"RPS3A",1.29632300224871,9.23072641111069,13.3068681780298,0.000264435683307892,0.0793028696572826
"RABIF",4.86100824729718,2.93364148007638,13.1330482051379,0.000290132359501731,0.0802788568640989
"MT-CYB",1.44132059383691,11.5228273051712,13.0907420944222,0.000296758765650943,0.0802788568640989
"MT-CO3",1.35911855140373,11.7719966649244,13.080388197124,0.000298403606475778,0.0802788568640989
"SPTSSA",6.42566350227457,2.55566338549929,13.0460555393238,0.00030392382150452,0.0802788568640989
"CCDC97",4.26125785104345,2.92478193850909,13.0153011559486,0.000308956077634718,0.0802788568640989
"NIFK-AS1",6.13489768880365,2.53453892828107,12.9933484619278,0.000312599447712875,0.0802788568640989
"ZKSCAN5",3.50833083879217,3.26963868078282,12.9671662946872,0.000317001453043564,0.0802788568640989
"MT-ATP6",1.26626700510081,11.4937590820948,12.5530776913224,0.000395554291248584,0.097994276153671
"GTF2E2",3.0999263300234,3.50715017351658,12.4722802281739,0.000413035592055541,0.0981857948689567
"RPL3",1.16812611902342,8.98193856736342,12.33010860087,0.000445710476252977,0.0981857948689567
"ERAP1",-2.29646969609198,4.24454232405226,12.3070204207929,0.000451257758590068,0.0981857948689567
"HIST1H2AE",7.44936435712987,2.33468065842848,12.299584964681,0.000453059028886036,0.0981857948689567
"SLC25A53",5.98845336242749,2.30322009075006,12.280825090177,0.00045763600031095,0.0981857948689567
"DTWD1",4.80112843910371,2.69631631317957,12.2566468500588,0.000463603821533541,0.0981857948689567
"COMMD6",1.72628880833289,5.99737945298165,12.2525584895507,0.00046462067076274,0.0981857948689567
"IFIT3",-5.08518079326289,3.4856351314892,12.2500172611164,0.000465253854240405,0.0981857948689567
"LINC01772",8.74734607262315,1.95700246923043,12.1895340459286,0.000480583860816542,0.0995769759611874
"JOSD2",5.98122078504991,2.45251676611032,12.089589924887,0.000507041249086404,0.103182894189083
"PFDN5",1.3917126159255,6.68419091383909,11.9634038316005,0.000542556662775126,0.108473258403252
"RPL19",1.14516073606426,8.62739219769499,11.9270232698301,0.000553255078217592,0.108705083989098
"RPS2",1.21376989303323,8.60798947845726,11.8836482394789,0.000566289097015204,0.10938017880653
"LSM4",2.83902449081114,3.64433791937772,11.8504209110766,0.000576483141214927,0.109415057727284
"PRRC2A",2.48133973586182,3.94863209849486,11.8209743518266,0.000585672035921754,0.109415057727284
"RPL18A",1.3954327012985,8.25810358735879,11.7170657229381,0.000619295271285426,0.113830466315624
"OAS3",-4.23516830574934,3.7079349001578,11.5429756654452,0.000680057067019917,0.119192842054333
"MT-ND5",1.23909586735947,11.1663188266412,11.5259703853617,0.000686306168071781,0.119192842054333
"ATP5PD",1.8802630582197,5.08620872974292,11.5209176074977,0.000688174117833883,0.119192842054333
"THAP1",3.74009718826488,3.09283023349116,11.5151677031535,0.000690306035063703,0.119192842054333
"GPANK1",4.63981734185635,2.92020453352708,11.3068463307333,0.000772218209596731,0.130522846544255
"SBNO1",2.17464629892826,4.34327831756975,11.2910157185505,0.000778830604160174,0.130522846544255
"PPP1R12C",3.20138124943372,3.56075863175188,11.1152562283626,0.000856204952887509,0.139967358224839
"BRF1",7.0175805118059,2.18146415960832,11.0753762872088,0.000874816654704028,0.139967358224839
"PIEZO1",3.91714391837663,3.24751886612086,11.0653825103946,0.000879544428197311,0.139967358224839
"RPL21",1.31891023011932,9.59408698834956,11.0340407569943,0.000894539510220279,0.139967358224839
"UBA52",1.20360406960056,7.80277890085268,11.0297822226223,0.000896596801545565,0.139967358224839
"HERC6",-4.08474376507288,3.39542600940695,10.9978618638035,0.000912170554971543,0.140474265465618
"TRUB2",-4.66112516950657,2.74741395079878,10.9612937473921,0.000930348388044649,0.14073248002278
"CS",2.56285517606922,4.57534147598781,10.9450387294663,0.000938545847817769,0.14073248002278
"ASNS",4.78894097606924,2.70468643651871,10.9036379747411,0.000959755824392779,0.142043862010131
"AKAP8L",-3.73886858311594,2.92713672044113,10.8779293899576,0.000973169835332384,0.142182608249331
"WDR12",4.7029673216447,2.84958424501125,10.7948515172779,0.00101782776704254,0.144296663612784
"NAB2",7.5009067842631,2.22047789270077,10.7441166833258,0.00104611361540632,0.144296663612784
"SLC5A3",-3.68210831753543,2.94066865683807,10.7202094425471,0.00105971676350539,0.144296663612784
