"","logFC","logCPM","LR","PValue","FDR"
"OTOF",-16.4684636866775,3.18972121239547,65.0227537213295,7.40382075652138e-16,8.43739413413177e-12
"EPHB2",-5.08053915306466,2.7026961918302,42.8261665267788,5.98265430597731e-11,3.40891642354587e-07
"GLMP",-1.7974887620802,3.58556881235056,40.2467345251174,2.238291622372e-10,8.50252377618378e-07
"LAIR1",-1.80547675167213,5.43305100272385,38.2355569804685,6.26994374138909e-10,1.78630697192175e-06
"GPR155",1.88483793125042,3.80322480791204,37.3184617971069,1.0033031331841e-09,2.28672850115319e-06
"CYSLTR2",2.44127479666689,2.50437571303819,35.2274457498921,2.93359938779097e-09,5.57188310387766e-06
"H2AFY2",-3.01572841360109,1.06923388747561,34.4486758166401,4.37640422960136e-09,7.12478608579101e-06
"DHFR",-1.94552455540454,3.08705043192913,33.9103002714172,5.77123508495824e-09,8.22112437852302e-06
"ICA1",-2.09559805516613,1.55669797990633,32.8424290116957,9.99395412254064e-09,1.26545667978304e-05
"HIPK2",1.6539389306115,4.69877030515803,32.288883878587,1.32871304072187e-08,1.51420138120664e-05
"MGST1",-1.62857446813311,5.01352117086134,31.6903290874831,1.80820379550855e-08,1.87329913214686e-05
"USP18",-6.15945044357379,2.35556504794474,30.7597438459972,2.92033736204263e-08,2.76418369079879e-05
"TNNT1",-3.63009852762394,3.31172955228493,30.5875125621705,3.19141217032353e-08,2.76418369079879e-05
"CACNA2D3",3.6027965592863,3.12388139035223,30.4670800667329,3.39580305994938e-08,2.76418369079879e-05
"SGMS1",-1.60839284789062,3.68260900281721,30.3269445316463,3.65019919463605e-08,2.7731780014715e-05
"SH2D1B",3.63232092017549,0.992652594990946,29.919969248379,4.50251661714053e-08,3.17965472748313e-05
"FDXR",-2.9830411812306,1.41470799853272,29.8189804589075,4.74325468297764e-08,3.17965472748313e-05
"DHCR24",-3.35004299207728,1.09649161648492,29.4065712822924,5.86783368631543e-08,3.71499070495837e-05
"RNASE1",-6.0888562972339,3.15951987115791,28.3164896668589,1.03014714373549e-07,5.67030973471615e-05
"H2AFJ",-1.98439097970796,4.08371753006311,28.2460800573316,1.06830759944247e-07,5.67030973471615e-05
"BRCA2",-2.93572035612729,1.18183815025009,28.2226388766745,1.0813239726086e-07,5.67030973471615e-05
"AXL",-6.37358912196342,0.815318220029138,28.1989234054211,1.09465438894134e-07,5.67030973471615e-05
"LINC01504",-2.00315724706851,1.81722766214601,28.01259121583,1.20528657178644e-07,5.97193294438184e-05
"LBX2-AS1",-2.33613896079276,1.95512485203231,26.8533726180428,2.19490977265475e-07,0.000104221632371556
"DNASE2",-2.04831117246142,4.509050655613,26.762742386676,2.30029866610649e-07,0.000104856814395798
"FAM20A",-5.61090240295053,1.59992196034412,26.5802454181598,2.52815616578212e-07,0.000108821290602135
"PYROXD1",-1.11131907930609,3.46393547985406,26.502774542771,2.63159875086818e-07,0.000108821290602135
"HSPH1",1.57440022455997,4.67558525200945,26.4720840951301,2.67374178383624e-07,0.000108821290602135
"AP000547.3",2.52346244473964,3.23621780696327,26.4019149119635,2.77265468929036e-07,0.000108955768410872
"HLX",-1.97137068874571,3.20556593224082,26.148641404001,3.16119449205209e-07,0.000113142962233875
"CTSD",-1.77542146677429,7.04777115853807,26.1395777909633,3.17606766503445e-07,0.000113142962233875
"HECTD1",1.00280310161822,4.13874122399023,26.1389760685339,3.17705755658477e-07,0.000113142962233875
"SLC40A1",1.89144722621007,4.35496898843167,25.9899659021395,3.43196477950785e-07,0.000118517183719004
"IER3",3.15867390171341,5.72682000172351,25.8562858959063,3.67804970506558e-07,0.000123279571879198
"ab_CD45RA:HI100|PTPRC|AHS0009|pAbO",2.61793242758816,11.4859571070445,25.7769129807057,3.83245435560751e-07,0.000124784713818581
"FFAR2",-4.42100529642218,3.15596689741597,25.4733054554324,4.48546360212354e-07,0.000141989842249444
"TBC1D8",1.5312255145877,2.79038497144053,25.2814142188711,4.95459963050493e-07,0.000152601668619552
"IGF1R",2.33431675518812,1.71893039737737,25.0973741755671,5.45070301050818e-07,0.000163463714494082
"TMEM38A",-2.48290680516272,1.87271479833125,25.0238291406079,5.66261411243662e-07,0.000163713480673399
"CERK",1.53901952095097,4.6649921753341,24.9646147753529,5.83922123013367e-07,0.000163713480673399
"EPSTI1",-4.6731800278899,5.68238256090772,24.9479188543712,5.89000764093486e-07,0.000163713480673399
"CABP4",3.06641964454448,0.152669659591253,24.7241990617338,6.61483935184766e-07,0.000179482641080133
"MTRNR2L8",1.46693327383955,5.64650581236155,24.5863046094231,7.10549369506418e-07,0.000188312107323143
"NPL",-1.30762751947458,4.81559396060349,24.5068958800588,7.40443581656814e-07,0.000191774887649115
"MRC1",4.29969473415044,0.883587898327392,24.2777118944332,8.33985162131905e-07,0.000208604676737124
"P2RY12",-3.36953110521505,0.402796591439925,24.2492789044403,8.46387649997474e-07,0.000208604676737124
"KLHDC7B",-4.90660215684012,2.88101398098033,24.2177908720216,8.60338698371783e-07,0.000208604676737124
"C2",-4.71033109952022,3.0510785151683,24.1394595608755,8.96052665961432e-07,0.000212737837110343
"CYSTM1",-1.47420396150454,3.35654532027995,23.966564975649,9.80232610959174e-07,0.000227974098663077
"SLC1A3",-3.88690047590353,0.406196675634135,23.783140079548,1.07822794292455e-06,0.000245307230138054
"SKI",1.26931877645161,4.49369586492692,23.7484942563289,1.0978122794876e-06,0.000245307230138054
"STAB1",-1.79577034128406,5.24512602782316,23.6859946466575,1.13404828489923e-06,0.000248531043359838
"IFITM3",-5.12334688434608,8.53476454678714,23.6347633636836,1.16464405361175e-06,0.000250420445942633
"ARHGAP18",-1.97370770746596,3.82271058866656,23.5085853457818,1.24357603801928e-06,0.000262440602393847
"CD300LF",1.19117649657026,5.3288335222169,23.1298833293914,1.51419045972793e-06,0.00030993616319104
"RAP1GAP2",0.954277475357268,4.18968819444628,23.1186935393715,1.5230278289486e-06,0.00030993616319104
"MYCL",1.53365596061834,3.32117557769983,22.6473827063372,1.94625155924472e-06,0.000389113732792155
"JDP2",-1.34511260948136,4.96033351386783,22.5447781440405,2.05301824992206e-06,0.000403382689243307
"WDR49",3.39244274019156,0.325114860014049,22.5075763828953,2.09316398635815e-06,0.000404299945568432
"SORL1",2.25427128528986,5.75027469383686,22.421975413742,2.18855553379926e-06,0.000415679647719606
"HIST1H1C",-3.37188003586628,3.63583442858979,22.3502691895919,2.27181205661547e-06,0.000424419183560491
"PDPK1",1.2875013155848,4.05685264722519,21.8598707121567,2.93303926275893e-06,0.000539111539329045
"LYPD2",8.04084821399689,2.33325252947328,21.764132278628,3.08310384631027e-06,0.000557699229088125
"ALDH1A1",1.81621048356287,4.89453704778099,21.7221299313669,3.15134878083701e-06,0.000561137042287791
"IFI44",-4.07863279305619,5.1862789712547,21.5983912479161,3.36133654792087e-06,0.000589319866155481
"IFITM2",-2.74667409885006,8.6610977708265,21.4087083593407,3.71081916474852e-06,0.000640734775779911
"ab_CD64:MD22|FCGR1A|AHS0180|pAbO",-2.32354778366947,14.6490491263959,21.2530701180284,4.02465225213098e-06,0.000674959811667262
"RPS6KA5",1.26316565460628,2.94373915665089,21.2349285321977,4.06292529333279e-06,0.000674959811667262
"ANKRD34B",-3.99820503643365,0.998636219453883,21.2151289059886,4.10511324510907e-06,0.000674959811667262
"CHST2",2.37909846283634,3.58927299003152,21.196159366158,4.14594478911094e-06,0.000674959811667262
"HSPA8",1.54270721230599,7.33646225830949,21.1397648243953,4.26975569207259e-06,0.000685325857279708
"NR2C2",1.38013305430708,2.73894170471975,21.1094280007352,4.33788637168839e-06,0.000686591015163345
"MS4A7",1.18102421858724,7.23665749904135,21.0408183357115,4.49602170384915e-06,0.000687644811836288
"MAPK8",1.00190102543715,3.0309117312003,21.0297805078722,4.52199713159198e-06,0.000687644811836288
"MTRNR2L1",1.46930319509114,4.84742240791204,21.0265872448454,4.5295399180944e-06,0.000687644811836288
"IFI27",-12.2909669401287,7.69287323389076,21.0028913133523,4.58590783604404e-06,0.000687644811836288
"FAM198B-AS1",-2.02688651183476,2.5071619723016,20.9139416463961,4.80385554013011e-06,0.000698650600674941
"BLVRA",-2.00525687526591,5.23573323014438,20.9032029103646,4.83086170013516e-06,0.000698650600674941
"TLR2",-1.13106585646335,5.88356572953907,20.8983066676325,4.84322546975433e-06,0.000698650600674941
"ZNF33B",1.70390746324943,3.02682065643874,20.8162939986939,5.05510563254762e-06,0.000720099797356409
"TBC1D9",1.69946188196218,4.13711642391176,20.7837995987136,5.14160619410473e-06,0.000723379557876759
"FABP5",-1.83906266140694,3.56711613541935,20.6836780760573,5.41758425276189e-06,0.000752912074932615
"ADGRE3",2.79306854815806,1.72185704689735,20.6534864528008,5.50368761768994e-06,0.000755662940857766
"AC136475.9",-4.78248256189224,-0.740545582273785,20.4147670206474,6.23468439857209e-06,0.000829794737877865
"ACSL1",-1.83189059857917,4.67771436932805,20.4097719811552,6.25097868950385e-06,0.000829794737877865
"TPST2",-1.33015285442433,4.83469384363792,20.392954496162,6.30615379797926e-06,0.000829794737877865
"CLU",-5.51440324026574,5.125715859269,20.384261048233,6.3348668125109e-06,0.000829794737877865
"NUP133",1.30954509687702,2.80295133148509,20.349667837619,6.45042843569261e-06,0.000835330482422193
"CCDC90B",-1.06887347858763,4.04486054310711,20.3183396100467,6.55690806833704e-06,0.000839578925244595
"CYBRD1",1.8919845332691,4.05632587480113,20.2785020986429,6.69486165471306e-06,0.000847718260190112
"H1F0",-2.59203363023942,5.1663095532621,20.1167103693886,7.2857330612744e-06,0.00091239795567344
"ADAP2",-1.34883438592422,4.92364410708173,20.017523026833,7.67357438511676e-06,0.000950522322747724
"LY6E",-3.92662506503669,6.5462226655343,19.975980976592,7.84210832884117e-06,0.000960953403392193
"IFI27L2",-1.39581134139346,4.2806435545454,19.9457666166159,7.96701613868025e-06,0.000965873573578725
"PTPN2",-0.830478719683648,5.51659584419869,19.8650852281961,8.31043330649911e-06,0.000996327765972737
"GNG2",1.75641974719603,5.55889475576181,19.8461698088571,8.39307349362783e-06,0.000996327765972737
"IFITM1",-5.76212678696487,3.93354218304939,19.8201213413062,8.50822960897592e-06,0.000999585408493707
"NECTIN1",2.3578876790579,1.44372405498533,19.7866979165483,8.65831584598119e-06,0.00100683844266124
"CYP4F22",3.41701556212754,1.11397367172068,19.7279842713744,8.92843168275667e-06,0.00102776169148177
"CD63",-1.34023600382226,7.05000861017861,19.6992528301615,9.06367959426001e-06,0.00103289692656187
"MILR1",-1.75012390408301,4.3817217500831,19.5590573860821,9.75372068484579e-06,0.00108565475932535
"TPPP3",2.68890320049508,4.04270861146408,19.5375298591478,9.86425422563875e-06,0.00108565475932535
"LILRB4",-1.45808602674675,5.47598965197116,19.530814508182,9.89899103361099e-06,0.00108565475932535
"OTUD4",1.22127710120209,3.95483093878383,19.5291355101083,9.90769524129839e-06,0.00108565475932535
"ATP10A",-2.77740374591317,1.66212934083338,19.4768753783198,1.01824971169372e-05,0.001095360110279
"TCN2",-3.32813743578867,2.89781061545556,19.4757492348642,1.01885022542624e-05,0.001095360110279
"TMEM245",1.13994696539532,3.63271658792984,19.45283117042,1.03114879043447e-05,0.00109822164633563
"HIC1",2.75273750847596,0.397608960283818,19.381978635341,1.0701213738257e-05,0.0011291762200109
"CCSAP",1.28714051620797,3.33190776894513,19.2705894453221,1.13440377100793e-05,0.0011831284554567
"COQ8A",1.48591083824078,3.17424483629896,19.2578209747906,1.14201588364547e-05,0.0011831284554567
"ARRDC3",-1.37223778206962,4.08401916447772,19.1979517995932,1.17839759484036e-05,0.00119998723822249
"CCNK",-1.02320014947632,5.09828363648951,19.1964117896494,1.1793486370737e-05,0.00119998723822249
"SIGLEC1",-6.76708845883146,4.88966208957159,19.0106490964515,1.29990955400041e-05,0.00131095303339723
"HSDL2",-0.983986066846786,4.17521624580212,18.9197519630847,1.36333772592113e-05,0.00136285936180677
"ZBTB18",0.953818959263454,4.48517376034698,18.840827702107,1.42092742605541e-05,0.00140807729976761
"RNASE2",-3.49597737937429,6.36939205288275,18.8112620919914,1.44312461950256e-05,0.00141774553136648
"IVNS1ABP",0.885137254108066,4.44571987043008,18.7938488876764,1.45636068184091e-05,0.00141852019916743
"KPNB1",0.840003149081328,6.53222798621014,18.7043898280663,1.52630698942243e-05,0.0014740503772422
"FSTL3",-1.86941454473661,1.74050037182334,18.6615084232717,1.56102179839032e-05,0.00149490793398791
"NDE1",0.886316169707618,4.0330384962989,18.5429919101871,1.66114847831087e-05,0.00157753733823589
"JADE1",1.27067542216915,3.27550257807545,18.3999340603104,1.7906417807267e-05,0.00168645898621169
"RRAS",-1.40894784607728,4.662077303306,18.3091861869723,1.87799402902507e-05,0.00175423114383358
"MARCO",-2.16293686237583,2.81710462026813,18.2935395894275,1.89348216109148e-05,0.00175431891933321
"ANXA2R",-1.39512651858567,3.01302752309109,18.2516975847133,1.93553373957304e-05,0.00177881794323986
"S100P",-2.22399845394773,1.31516117754747,18.2307855356699,1.95690087950012e-05,0.00178406739382267
"RAB37",1.93374035527403,3.30756740053705,18.2085318964576,1.97989913396818e-05,0.00179070877227789
"HAVCR2",-1.20350899697073,4.02948215466347,18.1881825155909,2.00116701451961e-05,0.00179569285806815
"UBE2J1",-1.44978664205455,5.98172448906369,18.1017075958345,2.09413544827716e-05,0.00185417459875662
"BTBD11",2.81590017032956,1.26231134651357,18.0973972307509,2.09888139030892e-05,0.00185417459875662
"ATP2B1",1.37554187022273,5.911272679774,18.0490295938862,2.1528834930366e-05,0.00188725079128039
"CDIP1",1.65106507052704,3.09381859920418,17.9670976984781,2.2475643641449e-05,0.00195520942700728
"IFIT5",-2.3458683870614,3.31602451995307,17.9047026309665,2.32246529951824e-05,0.00200371621609895
"RRAGD",-1.22590401137514,2.92164493263221,17.8385729952896,2.40458916055542e-05,0.00200371621609895
"SPATS2L",-3.07907533522203,3.45272618415928,17.8347905729059,2.40937366424747e-05,0.00200371621609895
"AL355922.1",-2.54583054726312,2.57072331090582,17.832165007216,2.41270044720497e-05,0.00200371621609895
"TMEM121B",-1.57900450450727,2.54842775675088,17.8149611455637,2.43461349063324e-05,0.00200371621609895
"CCNG2",1.21333157553277,4.0101672025995,17.8119018790944,2.43853105482188e-05,0.00200371621609895
"HSPA1A",1.81803724362545,5.90017850470346,17.8100561630029,2.44089766175538e-05,0.00200371621609895
"SLC5A3",1.75640597734868,1.7205419798065,17.8076508896695,2.4439852056665e-05,0.00200371621609895
"IFI44L",-5.83083102087876,6.49114256451712,17.7735985309653,2.48812013958734e-05,0.00201820104115452
"MT-CO1",1.55909449608578,13.8516875231052,17.7667656448879,2.49707219026665e-05,0.00201820104115452
"GNG5",-0.883548283396574,6.3104540060593,17.6537555234341,2.64991519286668e-05,0.0021266502491485
"LGALS3BP",-5.7723479353444,4.8311793356941,17.5524826142855,2.79485641463013e-05,0.00222728557350524
"AC025171.2",-1.09627281977792,2.57697723401147,17.532609035695,2.82422117189831e-05,0.00223505725520508
"CTSA",-1.37553840711695,5.8148555113558,17.5090306547669,2.85946247604789e-05,0.00224734030186495
"LINC02384",-2.62493371426976,0.886853940914388,17.4408837471107,2.96382222759699e-05,0.00230175535452422
"PUM2",0.933017621365294,4.78721379297756,17.4375050905978,2.9690947447794e-05,0.00230175535452422
"TBC1D4",1.56009712956395,2.76061233116427,17.2679464349583,3.24616888606749e-05,0.00249955004227197
"FAM43A",2.64198577428132,2.93141214487725,17.210016077989,3.34667219289162e-05,0.00254645523638385
"LRRCC1",-1.92530718114581,2.09694584907713,17.207121605091,3.3517750566653e-05,0.00254645523638385
"RAI1",1.58772751042498,3.10399101880466,17.1766010400727,3.40606016133127e-05,0.00257056037076365
"FAM151B",-1.7045228196741,1.53880227832104,17.1230409277717,3.50346938073783e-05,0.00262668006992686
"FCGR1A",-2.88741453614267,4.4551577525724,17.0892785593707,3.56630662482614e-05,0.0026561793387066
"MARCH1",-1.32308068163666,6.34442034196241,17.0770038804802,3.5894315387927e-05,0.0026561793387066
"CBL",1.43153404020956,5.25183855870232,17.0586734939941,3.62424603033849e-05,0.00266463921043467
"STK11IP",1.14604382137812,2.90836417629349,17.0003115531226,3.73736853192735e-05,0.00271442238604809
"CLCN5",1.1765596254564,2.70361517095814,16.9991804749091,3.7395956002944e-05,0.00271442238604809
"C12orf49",0.99186832352496,3.13509640641042,16.9748839244007,3.78775840489325e-05,0.00273198068241541
"ISG15",-4.31930844691784,5.11909713878186,16.9578443474064,3.82190731160471e-05,0.00273562805003383
"AC116407.2",-3.28105665239195,0.536090888431081,16.9484702710226,3.84082562307311e-05,0.00273562805003383
"FCGR1B",-2.93595766312419,4.06244640580474,16.9292725680653,3.87986382316748e-05,0.00273790092884181
"PXK",-1.02124379312866,4.76166714235454,16.9233112863173,3.89206695746204e-05,0.00273790092884181
"CYP2U1",1.72063393017382,1.7031960908088,16.9116143798501,3.91612353203176e-05,0.00273792293073828
"TRIP6",-2.09878762233536,1.83236081868433,16.8096532950773,4.13225626782909e-05,0.00286293101986901
"ZCCHC2",-1.89514665986648,4.21228615154968,16.8036515516625,4.14534594277381e-05,0.00286293101986901
"ANKS1A",1.46117022616061,2.35817455075265,16.7878442267835,4.18002120345009e-05,0.00286293101986901
"SYNJ2BP",1.0995140533523,3.13578680409104,16.7808689529316,4.19541488520643e-05,0.00286293101986901
"LGALS1",-0.983068190376335,7.96578914783119,16.7125082209732,4.34932918388964e-05,0.00295029496307181
"FAM129A",-1.47823434612796,5.44787573275994,16.6606165823267,4.46994292796415e-05,0.00301416979923547
"BCCIP",-0.838146751163711,3.97008267557239,16.6338491130118,4.53346860989226e-05,0.00303902401637248
"MPZL2",1.58556950641377,1.89849314748121,16.6116772798437,4.58677452574457e-05,0.00305677675411609
"ICOSLG",2.2242981404954,1.00183087671726,16.5676038373143,4.69461550397667e-05,0.00308175841686723
"SMAD3",-1.02533403812642,3.77243323497536,16.5606217257795,4.71193206384697e-05,0.00308175841686723
"CXCL3",-4.07972952659243,0.999285474781173,16.5451755990989,4.75046903494498e-05,0.00308175841686723
"SLC39A11",-1.11942886511464,3.52303705024613,16.5408290771591,4.76137031654369e-05,0.00308175841686723
"IMPA2",-1.05305559618385,5.24041630198652,16.5392384491459,4.76536596998115e-05,0.00308175841686723
"NBPF9",1.42989645565635,1.82230663539647,16.5308415442669,4.78651491563268e-05,0.00308175841686723
