"","logFC","logCPM","LR","PValue","FDR"
"RNASE1",-12.5624847097288,1.47215756991609,55.4726257587318,9.47695934230785e-14,1.0799942866494e-09
"IFIT1",-9.2741486387954,2.92594557147037,41.5805870509575,1.13110880489274e-10,6.44505797027881e-07
"IFI27",-8.10177977914892,4.81716458728465,40.769003203222,1.71329227863369e-10,6.50822626910317e-07
"USP18",-5.11745558498638,2.71032132788278,33.9154535306867,5.75596919182085e-09,1.63987562274976e-05
"H1FX",-1.63976404883728,6.22660055281609,30.4088229411804,3.49932934514944e-08,7.9756714434646e-05
"MT-ND5",1.86057787367365,11.694974313542,29.3555538015918,6.02436141224328e-08,0.000114422704423207
"MT-CO1",2.12594175252906,13.6545765770653,28.4642202522304,9.54461436603201e-08,0.000155386321879001
"MT-ATP6",1.84543200011879,12.0177084412491,27.8641429511954,1.30139302712613e-07,0.000171849760584881
"MT-ND4",1.69586878094789,12.5341629589179,27.7829275511944,1.35718484140394e-07,0.000171849760584881
"MT-ND4L",1.54059710853089,10.3228877483596,25.9835722784317,3.44334959470772e-07,0.00036343697869763
"EEF1B2",1.32293605394813,7.84448348079544,25.9476187574692,3.50807894495782e-07,0.00036343697869763
"MT-CYB",2.22431671099539,11.7751280960395,25.0952859270079,5.45660894112246e-07,0.000502996826873759
"MT-ATP8",1.67318693604768,9.93436743091454,24.9647691680537,5.83875364602612e-07,0.000502996826873759
"FAM43A",1.4970705448771,4.60971592128285,24.8554771869001,6.17932219746633e-07,0.000502996826873759
"LY6E",-2.26621899539145,6.89681518567478,24.5660076941786,7.18073228507762e-07,0.000545544167471631
"IFI44L",-6.21546210083885,5.708537797903,24.1757780387953,8.79312611575359e-07,0.000626290407594549
"LGALS9",-1.89319509427614,5.81478424464648,23.4461795689323,1.2845757127862e-06,0.000861119107230087
"MT-CO3",2.01474223887517,12.1875923617033,22.0309077447649,2.68295113864775e-06,0.0016986061764461
"PLSCR1",-2.92964512657105,5.06441230833683,21.666565484644,3.24396378624913e-06,0.00194569533200501
"CD36",-2.39912659220675,5.14443429166379,21.1863059562453,4.16731462982968e-06,0.00237453587607695
"SACM1L",1.33669910022068,5.45700700613413,20.9907696674271,4.61501445173054e-06,0.00250441450913911
"FAM198B",-3.61175142425785,3.33200844745964,20.7074707457632,5.35068358661045e-06,0.00264364365097103
"MGST1",-3.56909710294561,2.41217258723486,20.5970473550502,5.66834698663555e-06,0.00264364365097103
"RPL7A",1.06444144042789,8.05723721832046,20.4932426756983,5.98421429086765e-06,0.00264364365097103
"ZNF431",-1.7274990378394,4.2135397237684,20.4155139543783,6.23225149708475e-06,0.00264364365097103
"PDE4B",2.81113991933147,2.67912601620878,20.3690507198205,6.38542002435668e-06,0.00264364365097103
"CCDC146",-2.1467506625348,3.61630908913586,20.3492836478983,6.45172366505869e-06,0.00264364365097103
"USP19",2.02497132976514,3.87426251709048,20.3363620614834,6.49543894587476e-06,0.00264364365097103
"OAS3",-3.87705834103664,4.47563509741225,20.2680013262495,6.73170758125029e-06,0.00264532895158373
"MT-CO2",1.39750560576714,12.4472750898742,20.0572917451336,7.5156420382999e-06,0.00285494188894885
"MX1",-4.36665754027623,5.43816956052056,19.9926395198548,7.77408371846368e-06,0.00285785348566491
"RNF115",1.56962386968854,5.02999564654405,19.6318100578183,9.38929097115785e-06,0.00328018627911421
"MT-ND3",1.55870561578789,11.6467503928134,19.6096929258789,9.4986089163539e-06,0.00328018627911421
"SIGLEC1",-5.12121143032503,2.63856842197521,19.1744103488459,1.19302022593056e-05,0.00399872308667784
"KLF3",1.23061690004356,5.86186585243005,19.0287041091121,1.28766796926885e-05,0.00411454396404855
"RRAGD",-6.14666919186684,1.13527582020493,19.01083085542,1.29978573802868e-05,0.00411454396404855
"TTC37",-1.14178339328194,5.00665082778109,18.8284601780626,1.4301706596222e-05,0.00434049043597856
"FBL",1.0367652707979,5.85444765172343,18.8057016981899,1.44733798321503e-05,0.00434049043597856
"SATB1",1.058103634974,6.13092719622838,18.4204703637733,1.77144711399474e-05,0.00517625931053438
"ATP8B4",1.79279337782534,3.60949463365446,17.6025448557479,2.72223816759341e-05,0.00757718389302639
