"","logFC","logCPM","LR","PValue","FDR"
"LAG3",-2.56979695456753,3.09994822077451,34.183915482393,5.01416855284379e-09,5.71414648282078e-05
"MT-ND5",1.43146661953267,11.6226601662755,28.1459404345042,1.12503398467061e-07,0.000620170617514919
"MT-CYB",1.83603326672113,11.9840226724918,27.3552062134349,1.69307997747721e-07,0.000620170617514919
"MT-ND4",1.40267509009034,12.5480854318759,26.8440353775877,2.20554006907018e-07,0.000620170617514919
"MT-CO1",1.4960509315374,13.2765878565059,26.4382391184141,2.72100130534801e-07,0.000620170617514919
"MT-ND4L",1.24151151500131,10.3805556682123,25.0993671216992,5.4450725885596e-07,0.00103420078698709
"MT-ATP6",1.42004310961357,11.9333442554577,24.4487631751625,7.63124864330636e-07,0.0010690999494295
"AL136454.1",1.41201056046256,6.31109208318607,24.2782142777043,8.33767668566415e-07,0.0010690999494295
"IL6R",1.14244492560905,5.47180075562422,24.2539841316524,8.44322529384479e-07,0.0010690999494295
"IFI27",-2.61385138221668,3.00707993363067,22.6767441677648,1.91673690323391e-06,0.00218431337492537
"IFI44",-3.10107214023522,4.05490719772165,22.0169431240191,2.70254220935783e-06,0.00279983372889471
"CERK",1.04636079230638,5.4379433922208,21.7616375739397,3.08711547372214e-06,0.00293173066154479
"TOMM7",1.03018530988733,8.20560820130997,21.5013906157073,3.53572170792214e-06,0.00309946804488313
"MT2A",-1.78459645827611,6.11216207186841,21.1047012207832,4.34859961078189e-06,0.00345977063219607
"IFI6",-2.6006267705808,6.51272419029239,21.0162990203165,4.55392764855572e-06,0.00345977063219607
"RPL5",1.18658704575426,9.61229130071621,20.7817815609295,5.14702697451817e-06,0.0035896481580243
"RPL7",1.22223959210753,9.07494219913106,20.7059756528185,5.35486299459574e-06,0.0035896481580243
"IFIT3",-4.4409369802766,3.48311350917838,20.5464109842753,5.82028128217547e-06,0.00368488474953731
"CLEC1A",9.62149528088999,-1.1886122196956,20.2174326015618,6.91201779307456e-06,0.00414575551420409
"RPS27",1.0962498231515,11.1094249339163,20.0953011991521,7.36774661152872e-06,0.00419814201924906
"HKDC1",2.27987921254061,1.33849928032293,19.7872212026648,8.6559456946756e-06,0.0046748826348761
"RGCC",1.30115263696621,5.58825317912171,19.4461097722088,1.03478389725265e-05,0.0046748826348761
"RPS27A",1.21953823843932,10.6506599274893,19.306801236278,1.11309157194876e-05,0.0046748826348761
"LY6E",-1.67738524639588,5.9861638104126,19.2561843581316,1.14299527824175e-05,0.0046748826348761
"RPL13",1.12817152873429,10.0853982764154,19.2219953243823,1.16364885316581e-05,0.0046748826348761
"MT-ATP8",1.1755473740986,9.86700256724757,19.2215326192752,1.16393092825047e-05,0.0046748826348761
"RPLP2",1.07827541248791,10.1323847738647,19.145276643304,1.21136899493603e-05,0.0046748826348761
"MT-ND3",1.36364560492028,11.8793042110593,19.0650745991713,1.26335856145923e-05,0.0046748826348761
"P2RY6",11.2777887183395,-1.41921104911618,19.0505949838015,1.27298077797195e-05,0.0046748826348761
"NMI",-1.28657041788666,4.63583139755023,19.0191083910617,1.29415953419983e-05,0.0046748826348761
"RPL18",0.935670671410448,8.65890037660689,19.0006713539528,1.30672469268911e-05,0.0046748826348761
"PFDN5",0.948461939409614,7.38779439452895,18.9919539278473,1.31270835658156e-05,0.0046748826348761
"RPL6",1.09010932715832,10.1796270932894,18.9079212701325,1.37181866025638e-05,0.00473734710675201
"FAM102A",1.14878841484597,5.61551644480861,18.8319892885948,1.42752693454605e-05,0.00478473439590789
"RPS6",1.13907075393724,11.1237845721306,18.6913593530682,1.53677304820657e-05,0.00489266137895743
"NOP53",1.06802457516282,7.35502226437213,18.6804469986716,1.54559327520593e-05,0.00489266137895743
"EIF3L",1.13347084800024,6.45017319282275,18.5405789691665,1.66325266115637e-05,0.00492011762215036
"RPL39",0.972595163211462,10.5038580952248,18.5237445269299,1.67800766733714e-05,0.00492011762215036
"RPS14",1.15677345161916,10.3518424337758,18.5171890065792,1.68378893702934e-05,0.00492011762215036
"RPL10A",1.00471935957277,9.49820268679179,18.4083905116813,1.78271261502686e-05,0.00507894824021153
"RPS3A",1.20420724888362,10.1815474812222,18.2507661522766,1.93648043590121e-05,0.00522235859001306
