"","logFC","logCPM","LR","PValue","FDR"
"IFIT3",-9.42305452649879,4.59717010114499,42.9207296367383,5.70034249308262e-11,6.49611030511695e-07
"SPTSSB",-20.6702778466801,0.313769301781749,25.811545859316,3.76429939083595e-07,0.00214489779289833
"IFI6",-4.41578955211216,6.21130714523357,25.0250786327459,5.65894576738741e-07,0.0021496448655049
"IFI44L",-7.23290630667023,5.94185867432156,24.3703661463786,7.94819827788559e-07,0.00226444168936961
"ADTRP",19.4410564198262,4.3942639648663,23.7118668906835,1.11890480593894e-06,0.00255020783369603
"MARCKSL1",3.19517847931212,4.90835187995662,22.0869145684342,2.60579991092346e-06,0.00494928263081397
"IFI27",-5.71713193663525,2.86784026423192,21.5642177039518,3.42176567533197e-06,0.00557063451944044
"HIST1H1C",-2.54363253189231,4.75827914834213,20.7285512049898,5.29210223318689e-06,0.00732576808788307
"MX1",-3.80880081918216,6.27439036675025,20.5578744408685,5.78553113293679e-06,0.00732576808788307
"HERC6",-5.42332135453981,3.26221496743596,17.4855424889318,2.89500834375976e-05,0.0329915150854862
"RMDN3",-3.95304367194852,3.05944370176851,17.0650601406397,3.61207765537638e-05,0.0374211245096993
"BST2",-2.54575046950682,5.26643817849394,16.8700613515515,4.00279918604326e-05,0.0380132496034575
"PRR5L",5.5451220626997,2.19589768464552,16.7146114070208,4.34451026184946e-05,0.0380846453415665
"USP18",-8.36935558666707,1.91720205997707,16.3156456870302,5.36194131493648e-05,0.0418951771078201
"COCH",3.02951992818188,3.94403695488353,16.2624999087178,5.51445820127502e-05,0.0418951771078201
"KIR3DL1",14.7105663839369,0.435676318124273,15.6161094244615,7.75907371605318e-05,0.0552640025425888
"MT-ND5",1.78735079292449,11.898523257842,15.4833290058111,8.32361434470684e-05,0.0557975935719289
"STAG3",-3.26430705171197,4.53262710788839,15.1061727269893,0.000101630429194467,0.0608118600062491
"EGR1",4.95345857343276,5.59785825365213,15.0873771889123,0.000102647383735491,0.0608118600062491
"MAP3K12",4.7312617380573,2.3391157851196,15.0138519585735,0.000106724921035888,0.0608118600062491
"ARMH1",5.2301905796858,2.70176936455598,14.7617098750693,0.000121987571589377,0.0661985888491688
"IFI44",-4.5232467803805,3.71426880841809,14.4812248449247,0.000141563505293662,0.0708870862656752
"AC090204.1",10.7521192503699,0.582394378215526,14.4613121846644,0.000143068004923704,0.0708870862656752
"XAF1",-4.31815672959289,7.25152787682327,14.2495480203096,0.000160099252196161,0.0726192044716999
"HERC5",-5.27660586130482,3.25772072923016,14.1958576200986,0.000164732761409512,0.0726192044716999
"RHOC",3.9279090310771,3.06684457441725,14.1850589722881,0.000165680880683064,0.0726192044716999
"RNF208",-9.11864402864546,0.705743673345531,14.0166390552097,0.000181200064397339,0.0764798494026695
"CST7",2.86683965702344,4.64007914181709,13.5641915810028,0.000230541687044992,0.0932628068325105
"ISG15",-5.37984780966782,4.40203779689101,13.5097214548155,0.000237330765017796,0.0932628068325105
"EIF2AK2",-3.26991011290358,5.49792240447546,13.0922849491993,0.000296514448386255,0.109350069483839
"CRIP2",4.27244066204625,3.19638640589471,13.0390488157508,0.000305062994807027,0.109350069483839
"MT-CYB",2.03915818998408,12.3277033417304,13.0075886016956,0.000310231184234908,0.109350069483839
"PHLDA1",4.91628403390672,3.48441072062643,12.9692385397583,0.000316650780358608,0.109350069483839
"FAM111A-DT",-6.27531437342877,1.55716071922843,12.856482306916,0.000336312198505376,0.109579768158871
"ZNF366",20.6930963345013,0.0233273542762217,12.7835466349804,0.000349681332737345,0.109579768158871
"ISG20",-2.24165060754062,6.40634987348042,12.7812640905558,0.000350108265006933,0.109579768158871
"LAP3",-2.8196768546152,4.37183867775676,12.7201144097421,0.000361743638271703,0.109579768158871
"MT-CO1",1.71908214667856,13.7817048557653,12.6173382034783,0.000382185169715822,0.109579768158871
"PTPRE",3.30240291131902,3.61270756430111,12.5864142702762,0.000388560895441481,0.109579768158871
"ZNF362",3.10198865616303,3.13024931498668,12.5708720618094,0.000391805707340624,0.109579768158871
"PRSS23",4.63909966450106,2.37473603244666,12.5592923727442,0.000394241005134584,0.109579768158871
"ZNF618",-5.5596667984197,1.52519820247732,12.490748701891,0.000408972255265649,0.110967805262079
"DGKG",6.26775449744676,2.03397276467832,12.3934140078403,0.000430850786147326,0.114185478114766
"QPCT",6.17639153913802,1.3834581631002,12.2643469374573,0.000461694764387887,0.117411010345649
"SV2A",-17.0808464018893,0.00982675426448514,12.2565527899356,0.000463627190729571,0.117411010345649
"C3AR1",9.30053081595125,0.756186763289477,12.1745164435964,0.000484468573964834,0.120021823237027
"IFITM1",-3.77525415945826,3.91063985030155,12.017115360683,0.000527142249458844,0.127815171804957
"RAB3A",11.5597050426511,0.436092772360169,11.9245271267359,0.000553996878659406,0.131528092275054
"RNF141",2.01521285880555,5.26292520423529,11.8374343873701,0.000580517549087695,0.134866745917142
"MLC1",10.344567371552,1.04958242912843,11.7714632822904,0.000601456789376068,0.134866745917142
"IFI35",-2.61030346897804,3.70419585298255,11.7572397655503,0.00060607036531281,0.134866745917142
"EPSTI1",-2.84301089850634,5.00398180425873,11.728815223852,0.000615397577017497,0.134866745917142
