"","logFC","logCPM","LR","PValue","FDR"
"SIGLEC1",-10.9679044827017,1.9311860985441,36.3686234918728,1.63311229881276e-09,1.86109477572703e-05
"IGHG4",-12.80544904302,3.43100153600737,28.1830639719344,1.10366070673414e-07,0.000628865870697114
"IFI44L",-4.67679998003357,4.55193802141859,24.8955915492656,6.0520662775686e-07,0.00229897824330573
"IFIT1",-9.15743092243909,2.03703903952331,19.9526810861092,7.93825624673393e-06,0.022616092046945
"XAF1",-3.11076364980812,6.00628086295455,18.5300986530638,1.6724230353041e-05,0.0381178658206511
"FGFBP2",2.4167466365611,6.13503522722664,17.8833562409857,2.34866182063275e-05,0.0424616523150387
"MT-ND3",1.74607053301783,11.2559406807646,17.6523843705593,2.6518262356046e-05,0.0424616523150387
"MBOAT2",-14.578145803811,0.835270678142284,17.4300188057771,2.98081097332669e-05,0.0424616523150387
"ERCC3",-4.50035471237761,2.59191794811028,17.1463648538651,3.4607108523841e-05,0.0438202898597436
"IGHM",-3.3078515825854,7.5915993562805,16.739331675708,4.28827069091735e-05,0.0488691327936941
"MT-ND5",1.77422916459799,10.9868889243554,16.3595337856939,5.23919451385561e-05,0.0542780551635441
"FCGR3A",3.03513269384775,5.44136116439981,15.8734052450738,6.77237332349451e-05,0.062449043677834
"IL18RAP",4.82472186922309,2.31355297250568,15.777657591807,7.12388178143069e-05,0.062449043677834
"KIR2DL3",4.68264504251206,2.11654133721553,15.4099615225408,8.65309355010748e-05,0.0704361814978749
"ACTL6A",-5.33106191071702,2.31232452025794,15.0459269271976,0.000104926444715609,0.0750464175050982
"ZNF280B",-9.0299697798107,1.46545812554152,14.9398445278175,0.000110993883363235,0.0750464175050982
"MX2",-2.90932946113616,3.91035246197925,14.9236518921596,0.000111950605263835,0.0750464175050982
"BBS4",8.57880237088472,1.5618897851471,14.409108380586,0.000147089141169961,0.092570340901827
"MT-CO1",1.6852888197338,12.6518370399423,14.2434809347639,0.000160616197688661,0.092570340901827
"SDAD1",-2.64129690640463,3.97755558346982,14.2219874637664,0.000162461110743817,0.092570340901827
"RAB3IP",-5.64684778528565,2.2023571772723,13.9116366197143,0.000191608516767211,0.100368236508189
"THUMPD2",-7.30441454882848,1.52966202463493,13.8906394217534,0.000193761074340133,0.100368236508189
"IFI27",-6.26165899128587,3.3515990288047,13.6052546481914,0.000225553304077536,0.111756758837722
"LY6G5C",7.47174403581927,1.44159154557984,13.4471372277909,0.00024538032632387,0.114627019563917
"HSD17B4",-5.12049771309243,2.57820118963972,13.4012007212488,0.00025146327563162,0.114627019563917
"NEK7",3.16146303644562,3.14287501634838,13.1799772092168,0.000282956197667129,0.124021878023639
"ZFP30",10.9439626976224,0.964735717639,13.0300274020834,0.000306536064464326,0.129380925579091
"IFI16",-1.92735170732737,5.66078226499532,12.8535176115189,0.000336845442997374,0.137096095299931
"ab_CD4:SK3|CD4|AHS0032|pAbO",1.35566455474204,14.8279090487827,12.7742952440268,0.000351414989184097,0.138093972991102
"PPM1K",-2.44108804811254,4.65178518284588,12.6245212398342,0.000380719376647278,0.142249227715521
"MX1",-3.09265524122197,4.55108564210494,12.5941603526353,0.000386953848646995,0.142249227715521
"LGALS3BP",-3.25005031235386,3.33802915203482,12.5100034243506,0.000404778861990986,0.14415187222654
"MT-CYB",2.02029528868271,11.4412154681985,12.4122249821396,0.000426532364929349,0.144450783824426
"SH2D1B",4.47758571939577,2.85265057425141,12.3929002564858,0.00043096934450952,0.144450783824426
"HERC6",-5.07130599750091,2.74800029013824,12.2667662575946,0.000461096589697915,0.148958394086145
"PSMD14",3.4403110311827,2.78103984234954,12.2288575094269,0.000470560037478169,0.148958394086145
"MED25",-3.990663278808,2.86921270202055,12.1172588078003,0.000499572868172635,0.153868443397172
"BTBD19",-12.5882157161482,0.851713314395632,12.0489962586947,0.000518202749338482,0.155085892619159
"KBTBD4",-6.40118548190265,1.61629874793549,12.0044271395308,0.000530743226759142,0.155085892619159
"IER5",3.17399004625584,4.1750587148548,11.8243924515496,0.000584597864122053,0.162204772175269
"FCER1G",2.81359847237674,5.92042965643256,11.8133386704419,0.000588078828990212,0.162204772175269
"TXLNA",-3.39281346682256,2.79983119290698,11.771425396304,0.000601469030946284,0.162204772175269
"IFIT3",-4.76338749456194,3.4268404597714,11.7389976672081,0.000612039768650101,0.162204772175269
"BACH2",-2.73761034101744,3.60299841726963,11.6742890534953,0.000633697514563811,0.164127656272027
"FKBP14",-7.67014090715479,1.46580184938648,11.5818602924307,0.000665982835705623,0.168656453237806
"KIAA0319L",-2.56612405716107,3.42407098413508,11.3158560604593,0.000768480235194977,0.188532386266952
"TTTY15",-4.27375267872755,2.22341053445522,11.2393170634067,0.000800826174580848,0.188532386266952
"SLC39A14",-6.52980442847507,1.39764181915867,11.204363688216,0.000816052044280567,0.188532386266952
"TPD52L2",-3.64353380749099,2.72833671587772,11.1475315075022,0.000841435666738298,0.188532386266952
"CCSER2",-1.94224308181557,4.40810558081983,11.1078997777889,0.000859607798976678,0.188532386266952
"ZBTB20",-2.94467943634014,4.09169025021642,11.1011317761359,0.000862750521193458,0.188532386266952
"ISYNA1",-5.30626561686998,2.19269092281481,11.0872400611198,0.000869237573506535,0.188532386266952
"IER5L",9.15218672808852,1.23051141989079,11.0345589349569,0.000894289505131674,0.188532386266952
"FAM49A",3.06059610876169,2.80799715190657,11.0047879761936,0.000908768275276693,0.188532386266952
"IFI6",-2.77183210762864,5.74398136401626,11.0024703123869,0.000909905339126215,0.188532386266952
"FCRL6",2.33674336370983,3.93793318841175,10.7709241896534,0.00103107013063963,0.209822771585165
"DTX3L",-2.8575190561298,3.69817535667002,10.671593254291,0.00108793369483968,0.216925360106565
"CIB1",1.97599813814772,4.3699455597195,10.6444070585222,0.00110404272430509,0.216925360106565
"PDGFD",4.17004706627735,2.52436684070528,10.6006048965249,0.00113050668241314,0.218360239877629
"OTUD7B",-5.70124424697098,1.77548555511725,10.528125621319,0.00117571395827643,0.22330727114197
"INTS5",-5.95650471690637,1.65934650275278,10.4261383351425,0.00124244254302364,0.227429159653858
"FNDC3A",-3.68738680026064,2.84827127791677,10.3893230728459,0.00126746082103587,0.227429159653858
"PFKFB2",-10.089949388803,1.14443416621086,10.3464475171556,0.00129724099305736,0.227429159653858
"ISG20",-2.53238464399855,4.28611314834103,10.3436692246998,0.00129919497574998,0.227429159653858
"PCM1",1.79928860146267,4.76719416053388,10.3325370364906,0.0013070542110105,0.227429159653858
"CMPK2",-5.64709935034655,1.62966217839525,10.3183256704482,0.00131715729529261,0.227429159653858
"LINC00476",4.22733989734778,2.0786085970516,10.2660427973451,0.00135501126627033,0.230473259558457
"SPRYD7",-5.32813784777221,1.85181234037224,10.2188791272833,0.00139010306880342,0.232964920177703
