"","logFC","logCPM","LR","PValue","FDR"
"ADGRE3",5.09558227327338,1.8278885669811,56.7805063991285,4.8727278965462e-14,5.55296071090405e-10
"MT1E",-6.98326695615932,1.95033191669124,49.9624218059311,1.56718789684643e-12,8.92983663623098e-09
"TPPP3",4.48682326177228,4.20794738051414,38.816284987517,4.65627032160137e-10,1.40960043649269e-06
"CES1",-4.96788802437629,5.13192520499353,38.6977848246869,4.94770247979183e-10,1.40960043649269e-06
"MT1F",-3.96411343895263,3.21348777319669,35.485687166718,2.56931588827807e-09,5.85598477256338e-06
"RNASE2",-6.32560862062001,6.9895674601648,35.0572163825757,3.20158279248285e-09,6.07083968975131e-06
"SIGLEC1",-11.4848122517164,5.1635038032243,34.7602941505568,3.72901700844675e-09,6.07083968975131e-06
"NEURL1",5.081399488232,2.96517433809334,34.3799101911143,4.53379017676629e-09,6.45838410680357e-06
"IFI44L",-8.80776552207679,6.97990363119456,33.87848472363,5.86638679344644e-09,7.42814932201285e-06
"ACSL1",-3.80942233505909,5.13777364112351,33.615762892941,6.71463812507048e-09,7.65200160733032e-06
"IFI44",-5.58898931286448,5.46681625838184,32.8919379420816,9.74264633353992e-09,1.00933816015474e-05
"KLHDC7B",-5.90397351530557,3.38741110527279,32.526277760712,1.17591742319651e-08,1.11672957956229e-05
"ab_CD45RA:HI100|PTPRC|AHS0009|pAbO",3.08172319307917,11.3495489483389,29.3900988809505,5.91792236517012e-08,4.87778459299099e-05
"RNASE3",-5.39052384424138,1.12111685078719,29.3658738236154,5.9923643648538e-08,4.87778459299099e-05
"AP000547.3",2.91300950217828,3.70359686885541,28.7356827919404,8.29609692556417e-08,6.30282137091528e-05
"DYSF",-3.6644712409498,5.36129258280861,28.4286050590545,9.72182009450257e-08,6.92436636230946e-05
"LYPD2",12.0226326520642,1.89738420051951,27.9599114309172,1.2385493051348e-07,8.3026516948919e-05
"PEAK3",-3.10595114095352,2.66541342765869,27.706869751389,1.41160530257475e-07,8.93703001563433e-05
"TCN2",-5.46024703783295,3.3281002441492,27.4382085963403,1.62194788526169e-07,9.49070500726712e-05
"S100P",-5.31920148194723,2.41143186379513,27.386826451987,1.66562039439577e-07,9.49070500726712e-05
"ATP2B1",2.32230171574742,6.02057224472833,26.9840056649093,2.05145984151097e-07,0.000111325887399329
"IFI6",-7.46358521040513,8.7528298550119,26.7684294510616,2.29353881925846e-07,0.000118805310837588
"ADAMTS2",-11.4837899284381,2.16398127682937,26.3597955727464,2.8337806810223e-07,0.00014040767235187
"PLD4",4.94601764561994,3.57754557645342,25.6879768435725,4.01319553490044e-07,0.000190559901315523
"HLA-DOA",4.54858122870648,3.8683469714992,25.56389208075,4.27973597253219e-07,0.000195087484571907
"OASL",-7.43633915433105,3.61027458867642,25.059522048213,5.55875710893072e-07,0.00024364460005144
"HIST1H4H",-5.05838628083624,0.650841202025616,24.8930324768591,6.06010545175511e-07,0.000255781339734079
"CD1C",5.58749093756525,4.38800076963724,24.3536975575976,8.01727083129031e-07,0.000326302922833516
"CHST2",2.93722411512063,3.72924142223634,23.9214613535951,1.00346835789439e-06,0.000394328462295325
"ZDHHC1",4.23408711321972,1.99389750863482,23.836932089041,1.04851275892652e-06,0.000398295046690889
"DHCR24",-3.95322550165579,1.09019795323261,23.6410327460896,1.16085591162988e-06,0.000426745611901101
"HLX",-3.30303698685126,3.42540903962965,23.3344213472171,1.36141690267006e-06,0.000478386744246885
"HLA-DQA1",4.13205897374205,7.12698125230314,23.2988743155962,1.38681147148071e-06,0.000478386744246885
"LIMK2",-3.30222169537659,2.83807509016734,23.2435701635372,1.42726827872886e-06,0.000478386744246885
"SYT17",6.42098185212808,0.94488854446997,23.0967372217338,1.54051891628486e-06,0.000501592959142349
"HIST2H2BE",-3.99060353470515,4.21243377445952,22.8430366742998,1.75785037991456e-06,0.000556457303597399
"CXCR1",-7.13331885338693,-0.241064569109125,22.697575763777,1.89606928170801e-06,0.000583989338766068
"NDC80",-5.25493809408317,-0.250038308682375,22.62355667335,1.97053666888486e-06,0.000590953575752944
"AC064805.1",3.00200311969954,3.98411175603777,22.5624935106454,2.03417335636087e-06,0.000594395886386884
"IL1RN",-3.36871872860374,5.79670242758978,22.4441099024434,2.16347916912322e-06,0.000616375215283207
"PTP4A3",3.70721011250433,2.59368068173575,22.3458388948833,2.27705897909417e-06,0.000632026346182578
"IFIT1",-8.404088728266,4.32139240903162,22.3022498177293,2.32933542819132e-06,0.000632026346182578
"EPHB2",-4.12287706154897,2.43094487154802,22.1241118146069,2.55579343859171e-06,0.000662504054673534
"FAM20A",-6.7611704606933,2.61712827017615,22.1225071256221,2.55793071302523e-06,0.000662504054673534
"BLOC1S1",-1.88745926455503,5.37266475310393,21.7270386506134,3.14329556939442e-06,0.000796022140195973
"TBC1D2",-1.81496316688099,4.48757005767362,21.4347809475967,3.66070073825444e-06,0.000877716406679175
"ASGR2",-2.25325469239372,4.33996328618362,21.4089775675642,3.7102981732835e-06,0.000877716406679175
"DST",2.78963647771056,3.20769446515028,21.4085359575881,3.71115284780066e-06,0.000877716406679175
