"","logFC","logCPM","LR","PValue","FDR"
"MX1",-7.13070375798442,6.09081746072207,65.3503494911707,6.2698805805975e-16,7.14515590964891e-12
"C1QC",-18.0377633363711,1.29626755275371,46.0266044581477,1.16657974446255e-11,6.64717138394763e-08
"LGALS3BP",-7.86565997449236,3.17667023103718,39.8459073406838,2.74809420824286e-10,1.04390938657119e-06
"IFI44L",-7.48772986008581,6.12808156203609,38.675085224708,5.00557851105669e-10,1.42608931780005e-06
"IFI44",-5.11906189725082,4.84972863919047,37.6257404167226,8.57059898717833e-10,1.95341092115768e-06
"IFIT1",-9.43672896368095,3.82724940604018,36.1349039639717,1.84119276217312e-09,3.49703878628747e-06
"IFI6",-5.57854546647284,7.64596179280326,34.8613601151064,3.54037790255151e-09,5.76373522535386e-06
"RSAD2",-7.92337696047646,4.61457633707365,34.2486296756988,4.85016842956022e-09,6.90906492790853e-06
"OAS3",-6.14671478604852,4.9960164787286,33.0807280186585,8.84107008883963e-09,1.11947594147129e-05
"EPSTI1",-4.10732620671388,5.64308272766597,31.4476831882383,2.0488693733734e-08,2.33489153789632e-05
"CMPK2",-6.79191154311562,2.75696680437633,30.2703450625839,3.75828264372079e-08,3.89358081889474e-05
"PLSCR1",-3.32909214458242,5.18969855689669,28.4149043871991,9.79086343218927e-08,9.29805663943575e-05
"MT-ND5",1.71541713754996,11.8240291058646,26.9862007158032,2.04913147182005e-07,0.000167026586533763
"LY6E",-2.37881643757452,6.87813629095212,26.9835686951403,2.05192366749095e-07,0.000167026586533763
"TPPP3",4.78884797355081,2.50344190917142,26.3976890762721,2.77872733942144e-07,0.000211109178400312
"MT-CO1",1.81321721337335,13.7048920054685,25.9492437056732,3.50512730216175e-07,0.00024916298782698
"ab_CD69|CD69|AHS0010|pAbO",-2.93551875237227,12.9207818920109,25.8360082838033,3.71689258780156e-07,0.00024916298782698
"ANKRD22",-12.1590595506658,1.81660650762716,25.5277563048719,4.36064344719261e-07,0.00027607718180115
"IFITM3",-3.28043597259158,7.39494524073627,24.923874009197,5.96392752637466e-07,0.000357710095213503
"CNP",-2.59198385915838,4.29698697954062,24.8214914657521,6.28923324333294e-07,0.000358360510205111
"EIF2AK2",-2.89740188420379,5.90388678425256,24.1919291055592,8.71969286892013e-07,0.000473188666353399
"IFIH1",-3.48931864259406,4.48609503397124,23.3806198034027,1.3291086444337e-06,0.000688478277816659
"CXCL10",-13.0814628850046,2.34436590367312,22.7564138721394,1.83889368948198e-06,0.000911131847188552
"XAF1",-3.78003026616967,7.78338544887249,22.2981491170232,2.33431494337916e-06,0.00107251542382969
"TMX4",1.36406161587751,6.74158146659781,22.2758735399121,2.36155152214045e-06,0.00107251542382969
"ERN1",1.87112453367441,4.92342915913417,22.1556031772826,2.51421099016081e-06,0.00107251542382969
