"","logFC","logCPM","LR","PValue","FDR"
"MT-ND5",1.63466439009004,11.7393359685006,33.4715860706079,7.23127300531153e-09,8.24075871685302e-05
"MT-CO1",1.64399053509646,13.4231498159782,31.8535358869262,1.66246759063686e-08,9.47274033144881e-05
"HIST1H3H",-5.00368416361893,1.22593214406829,30.2653731150842,3.76792901063999e-08,0.000142580739008601
"HIST1H2AC",-3.44990817598485,3.54994745333981,29.715007120395,5.00458894379085e-08,0.000142580739008601
"HLA-DMB",1.84951137310471,3.28882200444063,23.8266226792593,1.05414344700231e-06,0.00240260374440766
"MT-ND3",1.35856749697211,11.830293481032,23.0519720853131,1.57680688420924e-06,0.00299488187540809
"DDX60L",-1.95602527628624,4.40125022402871,22.3513313562736,2.27055590634991e-06,0.00369646501553766
"ING2",2.29979956002078,2.73062359714073,21.8140339614906,3.00394875250203e-06,0.00405333435864448
"KLRB1",1.78903245383128,5.94795461138476,21.6920666688041,3.20112401086349e-06,0.00405333435864448
"MT-CYB",1.80914705688561,12.2118006777293,20.9574997940198,4.6958587169959e-06,0.00535140059388853
"IFI44",-3.299333588886,4.16839971125651,20.4887348707702,5.99832445765219e-06,0.00547517911834259
"MT-ND4L",1.16024986125353,10.5053352116767,20.4092917256433,6.25254757906116e-06,0.00547517911834259
"MT-ND4",1.18530596685705,12.683426478418,20.2617177669779,6.75385309916766e-06,0.00547517911834259
"CD74",1.24796385194882,8.85698683671919,20.2028285795911,6.96498718092534e-06,0.00547517911834259
"IFI44L",-5.14334683088126,5.34333337854055,20.1375685283722,7.20671172123015e-06,0.00547517911834259
"LY6E",-1.66516743499346,6.12167658092651,19.6896908172862,9.10914566896462e-06,0.00648798900272005
"FAXDC2",-6.01401069025119,0.788568043572639,19.3933179982135,1.06378614277648e-05,0.00713112169592987
"XAF1",-3.32884052037089,7.17574307251985,18.7431624703051,1.49558636788774e-05,0.0091271541882036
"OAS1",-3.1538768348167,3.53540557170481,18.7101211421958,1.52172630375455e-05,0.0091271541882036
"HLA-DQB1",1.46200430251574,4.51017892658304,18.57142658322,1.63655277372144e-05,0.00932507770466476
"CCL5",1.54247991679554,9.39761871644765,18.4337528830436,1.75914254711248e-05,0.00954628022233039
"MT-ND1",0.920590867107584,11.9977942775883,18.2402248399243,1.94722697127449e-05,0.00979400137264789
"MT-CO3",1.66040182503021,12.3127544916745,18.2116346882097,1.97667630371096e-05,0.00979400137264789
"EIF2AK2",-2.31854901995722,5.40909604494863,17.9773091575185,2.23553941237925e-05,0.0102010480167362
"HLA-DRA",1.44442591184679,6.16000213023203,17.9648829675896,2.2501809816398e-05,0.0102010480167362
"IFT52",1.84489155534602,2.38983599594554,17.9006864887006,2.3273714323898e-05,0.0102010480167362
"HERC5",-3.06963845709098,3.44872571437023,17.5712542035142,2.76740174204469e-05,0.0116804852786449
"RSAD2",-5.04052108712018,3.68987240742564,17.4097996396253,3.01268722285888e-05,0.0121328750368247
"MT-ATP6",1.42607830399374,12.1723136972736,17.3631677469692,3.08751646251244e-05,0.0121328750368247
"ISG15",-2.833732101884,4.50885286032467,17.1634092031714,3.42979639312518e-05,0.0130286532320182
"HERC6",-2.64481250353559,3.74552679740036,17.0890809838437,3.56667765938991e-05,0.0130836067043021
"CRIP2",1.6745842628418,3.66377169234318,17.0328439342698,3.67388043644846e-05,0.0130836067043021
"PIM1",-1.29485501525218,6.90346656768063,16.9290897705147,3.88023744950203e-05,0.0132378378865236
"COL6A2",1.19235183603607,4.11459531398026,16.8696014190235,4.00376927482146e-05,0.0132378378865236
"TGIF1",1.67667348820695,3.20685639872219,16.8404803620129,4.06567502657359e-05,0.0132378378865236
"CLDND2",2.23914060972807,2.75611440786306,16.3094844673012,5.37940304739996e-05,0.0170287992022694
"PIM2",-0.978049266998845,6.85114820057232,16.1860533010993,5.74152765215807e-05,0.0176839051686469
"LITAF",0.90896816281182,7.29191620432668,16.042681220308,6.19305414507656e-05,0.01845012894324
"CEBPD",1.71114255008233,3.07581988052229,15.9989416841162,6.33779022854467e-05,0.01845012894324
"NBPF20",-2.05138376939718,1.9001400789592,15.9261795625919,6.5861409208501e-05,0.01845012894324
"RNF139",1.27037847845505,3.88731096856372,15.9113624956106,6.63790177845596e-05,0.01845012894324
"ZNF551",2.18214015116201,2.09057115072936,15.7652069846521,7.17091912854486e-05,0.0191219665241533
"MT-ATP8",1.30842566049876,10.0388371732889,15.7535600036353,7.21520323392936e-05,0.0191219665241533
"PLSCR1",-2.26537800631479,3.91420538901952,15.6989646850846,7.42648090256173e-05,0.0191681337559624
"MIR222HG",4.55600556361814,-0.0371611551373556,15.6630063108733,7.56902438591005e-05,0.0191681337559624
"CEP162",-1.80163685689302,3.177915991138,15.5852845365017,7.88659896151197e-05,0.0195381916881284
"AGTRAP",-1.22773154432125,3.56735959984429,15.2071203431247,9.63394825815275e-05,0.0233592498616827
"CMPK2",-4.05142381629299,1.93995113431203,15.1498154819549,9.93080173482093e-05,0.0235773784520874
"MRPS18B",-0.980350179675756,4.49398460615196,14.9110488292132,0.00011270098254672,0.0260757124515179
