"ID","category","term","number_of_genes","number_of_genes_in_background","ncbiTaxonId","inputGenes","preferredNames","p_value","fdr","description"
"Mild_B__321","Process","GO.0060337",9,65,"9606","9606.ENSP00000252593,9606.ENSP00000342278,9606.ENSP00000342513,9606.ENSP00000354822,9606.ENSP00000360869,9606.ENSP00000368699,9606.ENSP00000371471,9606.ENSP00000380697,9606.ENSP00000395590","BST2,OAS2,IFI6,XAF1,IFIT1,ISG15,RSAD2,IRF7,IFI35",1.18e-16,1.01e-13,"type I interferon signaling pathway"
"Mild_B__321","Process","GO.0009615",8,270,"9606","9606.ENSP00000252593,9606.ENSP00000342278,9606.ENSP00000359783,9606.ENSP00000359787,9606.ENSP00000360869,9606.ENSP00000368699,9606.ENSP00000371471,9606.ENSP00000380697","BST2,OAS2,IFI44,IFI44L,IFIT1,ISG15,RSAD2,IRF7",8.98e-10,1.91e-07,"response to virus"
"Mild_B__321","Process","GO.0098542",11,859,"9606","9606.ENSP00000252593,9606.ENSP00000342278,9606.ENSP00000342513,9606.ENSP00000354822,9606.ENSP00000359787,9606.ENSP00000360215,9606.ENSP00000360869,9606.ENSP00000368699,9606.ENSP00000371471,9606.ENSP00000380697,9606.ENSP00000395590","BST2,OAS2,IFI6,XAF1,IFI44L,ZBP1,IFIT1,ISG15,RSAD2,IRF7,IFI35",1.83e-09,3.11e-07,"defense response to other organism"
"Mild_B__321","Process","GO.0051607",7,181,"9606","9606.ENSP00000252593,9606.ENSP00000342278,9606.ENSP00000359787,9606.ENSP00000360869,9606.ENSP00000368699,9606.ENSP00000371471,9606.ENSP00000380697","BST2,OAS2,IFI44L,IFIT1,ISG15,RSAD2,IRF7",2.02e-09,3.11e-07,"defense response to virus"
"Mild_B__321","Process","GO.0051707",12,1173,"9606","9606.ENSP00000252593,9606.ENSP00000342278,9606.ENSP00000342513,9606.ENSP00000354822,9606.ENSP00000359783,9606.ENSP00000359787,9606.ENSP00000360215,9606.ENSP00000360869,9606.ENSP00000368699,9606.ENSP00000371471,9606.ENSP00000380697,9606.ENSP00000395590","BST2,OAS2,IFI6,XAF1,IFI44,IFI44L,ZBP1,IFIT1,ISG15,RSAD2,IRF7,IFI35",3.11e-09,3.79e-07,"response to other organism"
"Mild_B__321","Process","GO.0045087",10,676,"9606","9606.ENSP00000252593,9606.ENSP00000342278,9606.ENSP00000342513,9606.ENSP00000354822,9606.ENSP00000360215,9606.ENSP00000360869,9606.ENSP00000368699,9606.ENSP00000371471,9606.ENSP00000380697,9606.ENSP00000395590","BST2,OAS2,IFI6,XAF1,ZBP1,IFIT1,ISG15,RSAD2,IRF7,IFI35",3.27e-09,3.79e-07,"innate immune response"
"Mild_B__321","Process","GO.0009605",13,2152,"9606","9606.ENSP00000252593,9606.ENSP00000342278,9606.ENSP00000342513,9606.ENSP00000354822,9606.ENSP00000359783,9606.ENSP00000359787,9606.ENSP00000360215,9606.ENSP00000360869,9606.ENSP00000361965,9606.ENSP00000368699,9606.ENSP00000371471,9606.ENSP00000380697,9606.ENSP00000395590","BST2,OAS2,IFI6,XAF1,IFI44,IFI44L,ZBP1,IFIT1,ADA,ISG15,RSAD2,IRF7,IFI35",2.72e-07,1.78e-05,"response to external stimulus"
"Mild_B__321","Process","GO.0045071",4,52,"9606","9606.ENSP00000252593,9606.ENSP00000360869,9606.ENSP00000368699,9606.ENSP00000371471","BST2,IFIT1,ISG15,RSAD2",6.1e-07,3.71e-05,"negative regulation of viral genome replication"
"Mild_B__321","Process","GO.0006955",11,1560,"9606","9606.ENSP00000252593,9606.ENSP00000342278,9606.ENSP00000342513,9606.ENSP00000354822,9606.ENSP00000360215,9606.ENSP00000360869,9606.ENSP00000361965,9606.ENSP00000368699,9606.ENSP00000371471,9606.ENSP00000380697,9606.ENSP00000395590","BST2,OAS2,IFI6,XAF1,ZBP1,IFIT1,ADA,ISG15,RSAD2,IRF7,IFI35",7.98e-07,4.53e-05,"immune response"
"Mild_B__321","Process","GO.0051704",13,2514,"9606","9606.ENSP00000252593,9606.ENSP00000342278,9606.ENSP00000342513,9606.ENSP00000354822,9606.ENSP00000358497,9606.ENSP00000359783,9606.ENSP00000359787,9606.ENSP00000360215,9606.ENSP00000360869,9606.ENSP00000368699,9606.ENSP00000371471,9606.ENSP00000380697,9606.ENSP00000395590","BST2,OAS2,IFI6,XAF1,RNGTT,IFI44,IFI44L,ZBP1,IFIT1,ISG15,RSAD2,IRF7,IFI35",1.65e-06,8.29e-05,"multi-organism process"
